Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,Accept_choice
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,9,4,"{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'Battery life is approx. 6 hours at 80% - 100% volume, although, it does distort somewhat beyond 90% volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that the battery life of the speaker is approximately 6 hours at 80% - 100% volume, and it distorts somewhat beyond 90% volume.', 'sentiment': 'neutral'}",1,0,2.471959590911865,https://amazon.com/dp/B08X4YMTPM,"To be completely honest, without the EQ app, I would honestly NOT be too pleased with my purchase.

Battery life is approx.

6 hours at 80% - 100% volume, although, it does distort somewhat beyond 90% volume.

That said, even at 90% volume, it is quite loud.

All in all, I am pleased, but wish the battery life was better.","{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'Battery life is approx. 6 hours at 80% - 100% volume, although, it does distort somewhat beyond 90% volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that the battery life of the speaker is approximately 6 hours at 80% - 100% volume, and it distorts somewhat beyond 90% volume.', 'sentiment': 'neutral'}",battery life,"The user mentioned that the battery life of the speaker is approximately 6 hours at 80% - 100% volume, and it distorts somewhat beyond 90% volume.",,"The battery life of the speaker is approximately 6 hours at 80% - 100% volume, and it distorts somewhat beyond 90% volume.",yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,2,5,"""{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'I got just under 7 hours at max volume, but get 10+ hours at about 75% max volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that he got 7 hours of battery life at max volume and 10+ hours at 75% max volume.', 'sentiment': 'positive'}""",3,0,2.214021921157837,https://amazon.com/dp/B08X4YMTPM,", Battery life is as advertised, depending on how loud you set the volume.

I got just under 7 hours at max volume, but get 10+ hours at about 75% max volume.

, I am very pleased with this speaker and I am considering buying a second one to pair up with the first one so I can play music on both speakers at once.","{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'I got just under 7 hours at max volume, but get 10+ hours at about 75% max volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that he got 7 hours of battery life at max volume and 10+ hours at 75% max volume.', 'sentiment': 'positive'}",battery life,The user mentioned that he got 7 hours of battery life at max volume and 10+ hours at 75% max volume.,,"At max volume, I get 7 hours of battery life and 10+ hours at 75% max volume.",yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,2,3,"""{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'I cant speak the the battery life as of yet because I just put the darn thing in.', 'rephrased_it(without experience & observation)': 'The user mentioned that he cannot speak about the battery life as of yet because he just put the speaker in.', 'sentiment': 'neutral'}""",4,0,1.954440116882324,https://amazon.com/dp/B08X4YMTPM,"I cant speak the the battery life as of yet because I just put the darn thing in.

Where I have it now its plugged in.""","{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'I cant speak the the battery life as of yet because I just put the darn thing in.', 'rephrased_it(without experience & observation)': 'The user mentioned that he cannot speak about the battery life as of yet because he just put the speaker in.', 'sentiment': 'neutral'}",battery life,The user mentioned that he cannot speak about the battery life as of yet because he just put the speaker in.,,I cannot speak about the battery life yet as I just put the speaker in.,yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,0,4,"""{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'Battery life is variable. At full volume, full bass it can last a little longer than 4 hours, but it can last the full advertised time at moderate volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that the battery life is variable and it can last a little longer than 4 hours at full volume, full bass. However, it can last the full advertised time at moderate volume.', 'sentiment': 'neutral'}""",5,0,2.695414781570435,https://amazon.com/dp/B08X4YMTPM,"""Easily one of the best speakers Ive owned.

Out of the box, it delivers good bass and sound quality that you can tweak further with a separate, free app that also handles software updates.

Battery life is variable.

At full volume, full bass it can last a little longer than 4 hours, but it can last the full advertised time at moderate volume.

Relatedly, the charging time is fairly long, I suppose as a consequence of having the built in power bank.","{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'Battery life is variable. At full volume, full bass it can last a little longer than 4 hours, but it can last the full advertised time at moderate volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that the battery life is variable and it can last a little longer than 4 hours at full volume, full bass. However, it can last the full advertised time at moderate volume.', 'sentiment': 'neutral'}",battery life,"The user mentioned that the battery life is variable and it can last a little longer than 4 hours at full volume, full bass. However, it can last the full advertised time at moderate volume.",,"The battery life varies and can last longer than 4 hours at full volume and bass, but lasts the full advertised time at moderate volume.",yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,2,2,"""{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'So when I received the items I had charged it and brought it to work and started playing and it does not even and hour later.', 'rephrased_it(without experience & observation)': 'The user mentioned that the speaker did not last even an hour after he charged it and brought it to work and started playing.', 'sentiment': 'negative'}""",6,0,2.22002911567688,https://amazon.com/dp/B08X4YMTPM,"I bought this speaker to have as I worked.

Because the battery life was supposed to last a long time.

So when I received the items I had charged it and brought it to work and started playing and it does not even and hour later.

So I figured maybe I just didn’t charge it all the way the first time.

So I left it on the charger for a while until it was full and started again and this time it only last a little bit over an hour which sucks.","{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'So when I received the items I had charged it and brought it to work and started playing and it does not even and hour later.', 'rephrased_it(without experience & observation)': 'The user mentioned that the speaker did not last even an hour after he charged it and brought it to work and started playing.', 'sentiment': 'negative'}",battery life,The user mentioned that the speaker did not last even an hour after he charged it and brought it to work and started playing.,,"After charging and bringing the speaker to work, it did not even last an hour.",yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,2,4,"""{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'The battery life is the same as the previous model which is about 6 hours at max volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that the battery life is the same as the previous model and it lasts for about 6 hours at max volume.', 'sentiment': 'negative'}""",7,0,2.128645658493042,https://amazon.com/dp/B08X4YMTPM,"This speaker is a little better looking, has slightly better sound quality and it’s a little bit louder(hard to notice) than the Charge 4 but that is all the positives for this product.

, - The battery life is the same as the previous model which is about 6 hours at max volume.","{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'The battery life is the same as the previous model which is about 6 hours at max volume.', 'rephrased_it(without experience & observation)': 'The user mentioned that the battery life is the same as the previous model and it lasts for about 6 hours at max volume.', 'sentiment': 'negative'}",battery life,The user mentioned that the battery life is the same as the previous model and it lasts for about 6 hours at max volume.,,The battery life of the previous model is the same and lasts for about 6 hours at max volume.,yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,0,3,"""{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'After about a year, I noticed my speaker wad dying quicker and quicker, until it was dying fast enough that it was a problem.', 'rephrased_it(without experience & observation)': 'The user noticed that the speaker was dying quicker and quicker over time until it became a problem.', 'sentiment': 'negative'}""",8,0,2.100642919540405,https://amazon.com/dp/B08X4YMTPM,"Well, dont get used to it because with frequent use and charge, your battery life will become shorter and shorter over time.  

After about a year, I noticed my speaker wad dying quicker and quicker, until it was dying fast enough that it was a problem.

"", ""I use my speaker to listen to brown noise or rain sounds at night while I sleep, so I pick a 10 or 12 hour youtube video to sleep to.","{'feature': 'battery life of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'After about a year, I noticed my speaker wad dying quicker and quicker, until it was dying fast enough that it was a problem.', 'rephrased_it(without experience & observation)': 'The user noticed that the speaker was dying quicker and quicker over time until it became a problem.', 'sentiment': 'negative'}",battery life,The user noticed that the speaker was dying quicker and quicker over time until it became a problem.,,I noticed that the speaker was dying quicker and quicker over time until it became a problem.,yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,0,4,"{'feature': 'compatibility of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'Unfortunately JBL adopted a new connection standard named ""Party Boost"" which is not compatible with the ""Connect+"" standard used in earlier JBL speakers.', 'rephrased_it(without experience & observation)': 'The user mentioned that JBL adopted a new connection standard named ""Party Boost"" which is not compatible with the ""Connect+"" standard used in earlier JBL speakers.', 'sentiment': 'negative'}",1,0,2.408582448959351,https://amazon.com/dp/B08X4YMTPM,"I purchased the Charge 5 to connect with my Charge 4 speaker.

Unfortunately JBL adopted a new connection standard named ""Party Boost"" which is not compatible with the ""Connect+"" standard used in earlier JBL speakers.

Given that JBL has sold thousands and thousands of Connect 4 and earlier speakers you would think it would provide support for them.

I am debating weather to return the Charge 5 and get another Charge 4 or to purchase another Charge 5.

Not thrilled with either option.","{'feature': 'compatibility of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'Unfortunately JBL adopted a new connection standard named ""Party Boost"" which is not compatible with the ""Connect+"" standard used in earlier JBL speakers.', 'rephrased_it(without experience & observation)': 'The user mentioned that JBL adopted a new connection standard named ""Party Boost"" which is not compatible with the ""Connect+"" standard used in earlier JBL speakers.', 'sentiment': 'negative'}",compatibility,"The user mentioned that JBL adopted a new connection standard named ""Party Boost"" which is not compatible with the ""Connect+"" standard used in earlier JBL speakers.",,"JBL has adopted a new connection standard called ""Party Boost"" which is not compatible with the ""Connect+"" standard used in earlier JBL speakers.",yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,3,5,"""{'feature': 'compatibility of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'We listen to country, edm, dubstep, trap, scremo, rock and metal it works for all of them.', 'rephrased_it(without experience & observation)': 'The user mentioned that the speaker works for all genres of music they listen to.', 'sentiment': 'positive'}""",2,0,1.970452070236206,https://amazon.com/dp/B08X4YMTPM,"We listen to country, edm, dubstep, trap, scremo, rock and metal it works for all of them.

The 1 complaint is the feature which 2 devices can connect via Bluetooth if we are playing music from 1 and then on the other device we turn on a video on Facebook, Instagram, snapchat ect.. the music cuts over to that other device pausing the music on device 1 but thats not easily solvable so no big deal we typically only connect 1 device in that case making that particular feature partly obsolete.","{'feature': 'compatibility of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'We listen to country, edm, dubstep, trap, scremo, rock and metal it works for all of them.', 'rephrased_it(without experience & observation)': 'The user mentioned that the speaker works for all genres of music they listen to.', 'sentiment': 'positive'}",compatibility,The user mentioned that the speaker works for all genres of music they listen to.,,The speaker works for all genres of music I listen to.,yes
02887bf5-8cbb-11ed-a7ba-930ee103a0a2,0,5,"""{'feature': 'compatibility of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'If you have two, connect one to Bluetooth, and the the other speaker to that via party boost button/app.', 'rephrased_it(without experience & observation)': 'The user suggested a way to connect two wireless-bluetooth-speakers, one to Bluetooth and the other via party boost button/app.', 'sentiment': 'neutral'}""",3,0,2.154223442077637,https://amazon.com/dp/B08X4YMTPM,"If you have two, connect one to Bluetooth, and the the other speaker to that via party boost button/app.

If you have both connected to Bluetooth you most likely will have feedback/static.

You may need to connect both to Bluetooth to update them via app.

But afterwards make sure to go to Bluetooth and forget one device.

The main speaker connected to Bluetooth will also control volume for both products.","{'feature': 'compatibility of wireless-bluetooth-speakers', 'actual_sentence_extracted': 'If you have two, connect one to Bluetooth, and the the other speaker to that via party boost button/app.', 'rephrased_it(without experience & observation)': 'The user suggested a way to connect two wireless-bluetooth-speakers, one to Bluetooth and the other via party boost button/app.', 'sentiment': 'neutral'}",compatibility,"The user suggested a way to connect two wireless-bluetooth-speakers, one to Bluetooth and the other via party boost button/app.",,"I suggest connecting two wireless Bluetooth speakers, one via Bluetooth and the other through the party boost button/app.",yes
