Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,id,accept_choice1,accept1,annotator,annotation_id,created_at,updated_at,lead_time,Model_choice
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,4,"""{'feature': 'motion detection range of flood-security-lights', 'actual_sentence_extracted': 'The remote has a very limited range, however.', 'rephrased_it(without experience & observation)': 'The user mentioned that the remote has a very limited range.', 'sentiment': 'negative'}""",3,0,1.558430671691895,https://amazon.com/dp/B0C27MSSX2,"I keep them set on ""mode 2"" which is dim all night until motion where they get bright for like 20-30 seconds until the motion is gone.  

The motion sensing works good.  

These are mainly to keep track of our dogs at night as our yard is very large.  

We have enough motion lights on the perimeter to locate them as they walk/run by.  

The batteries on these lights last a long time and they last from dusk to dawn in ""mode 2"".  

The remote has a very limited range, however.","{'feature': 'motion detection range of flood-security-lights', 'actual_sentence_extracted': 'The remote has a very limited range, however.', 'rephrased_it(without experience & observation)': 'The user mentioned that the remote has a very limited range.', 'sentiment': 'negative'}",motion detection range,The user mentioned that the remote has a very limited range.,,The remote has a very limited range.,445278,NO,"{""text"": [""The remote has a very limited range."", ""The remote has a very limited range.""]}",38,384802,2024-05-29T05:10:34.084241Z,2024-05-29T05:10:43.981995Z,750.359,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,5,"""{'feature': 'energy efficiency of flood-security-lights', 'actual_sentence_extracted': 'The lights come on at dusk, stay on all night and auto shut off at dawn.', 'rephrased_it(without experience & observation)': 'The user mentioned that the lights turn on at dusk, stay on all night and auto shut off at dawn, indicating energy efficiency.', 'sentiment': 'positive'}""",5,0,1.997992277145386,https://amazon.com/dp/B0C27MSSX2,"So far, these outdoor solar lights have been impressive.  

I installed all four to surround my back yard.  

When all the lights are motion activated, the brightness lit up my whole yard (roughly about 1/4 acre in a rectangular shape).

After the 20 seconds have passed, the brightness dimmed, but the setting I chose (#2) keeps the yard illuminated.

The lights come on at dusk, stay on all night and auto shut off at dawn.

It’s been about two weeks since installation and so far so good.","{'feature': 'energy efficiency of flood-security-lights', 'actual_sentence_extracted': 'The lights come on at dusk, stay on all night and auto shut off at dawn.', 'rephrased_it(without experience & observation)': 'The user mentioned that the lights turn on at dusk, stay on all night and auto shut off at dawn, indicating energy efficiency.', 'sentiment': 'positive'}",energy efficiency,"The user mentioned that the lights turn on at dusk, stay on all night and auto shut off at dawn, indicating energy efficiency.",,"The lights turn on at dusk, stay on all night, and auto shut off at dawn, indicating energy efficiency.",445266,YES,"{""text"": [""The lights turn on at dusk, stay on all night, and auto shut off at dawn."", ""The lights turn on at dusk, stay on all night, and auto shut off at dawn, indicating energy efficiency.""]}",38,384775,2024-05-29T05:08:52.761978Z,2024-05-29T05:09:03.835094Z,650.011,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,3,"""{'feature': 'motion detection range of flood-security-lights', 'actual_sentence_extracted': 'I put two up on the side of the barn they are bright and the motion detection is great, I put one up over my walkway from my parking area, the motion detection does not work', 'rephrased_it(without experience & observation)': 'The user mentioned that the motion detection is great for the two flood-security-lights installed on the side of the barn, but the motion detection does not work for the one installed over the walkway from his parking area.', 'sentiment': 'positive'}""",2,0,2.87217378616333,https://amazon.com/dp/B0C27MSSX2,"I bought two sets of these for my driveway down the side of my barn. I put two up on the side of the barn they are bright and the motion detection is great, I put one up over my walkway from my parking area, the motion detection does not work, when I turn it on manually it only stays on for about 30 seconds, the last one I installed at the beginning of the walk way it works fine. Of course the one that was the hardest to install would be the problem. There is nothing blocking the line of sight of the motion detector nor blocking the solar panel.","{'feature': 'motion detection range of flood-security-lights', 'actual_sentence_extracted': 'I put two up on the side of the barn they are bright and the motion detection is great, I put one up over my walkway from my parking area, the motion detection does not work', 'rephrased_it(without experience & observation)': 'The user mentioned that the motion detection is great for the two flood-security-lights installed on the side of the barn, but the motion detection does not work for the one installed over the walkway from his parking area.', 'sentiment': 'positive'}",motion detection range,"The user mentioned that the motion detection is great for the two flood-security-lights installed on the side of the barn, but the motion detection does not work for the one installed over the walkway from his parking area.",,"The motion detection works great for the two flood-security-lights on the side of the barn, but not for the one over my walkway from the parking area.",445277,YES,"The motion detection works great for the two flood-security-lights on the side of the barn, but not for the one over my walkway from the parking area.",38,384801,2024-05-29T05:10:30.325197Z,2024-05-29T05:10:30.325249Z,2.824,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,5,"""{'feature': 'motion detection range of flood-security-lights', 'actual_sentence_extracted': 'Motion detection is within my expectation from the side as well as in front / below.', 'rephrased_it(without experience & observation)': 'The user mentioned that the motion detection range is within his expectation from the side as well as in front/below.', 'sentiment': 'positive'}""",1,0,1.934903383255005,https://amazon.com/dp/B0C27MSSX2,"The brightness of the lights is comparable with other offers from other manufacturers.  

I like the easy installation with two pieces (a holder plate and the attachment with just sliding on).  

Another unique feature is the two side lights, which are curved and thus could cast a wider light path., Motion detection is within my expectation from the side as well as in front / below.  

Overall, this set has a very good first impression.","{'feature': 'motion detection range of flood-security-lights', 'actual_sentence_extracted': 'Motion detection is within my expectation from the side as well as in front / below.', 'rephrased_it(without experience & observation)': 'The user mentioned that the motion detection range is within his expectation from the side as well as in front/below.', 'sentiment': 'positive'}",motion detection range,The user mentioned that the motion detection range is within his expectation from the side as well as in front/below.,,The motion detection range meets my expectations from all sides.,445276,NO,The motion detection range meets my expectations from all sides.,38,384799,2024-05-29T05:10:25.967362Z,2024-05-29T05:10:25.967418Z,2.97,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,13,2,"""{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'I cannot believe how easy these things are to mount, and the cord allows you the distance to put them just about anywhere...', 'rephrased_it(without experience & observation)': 'The user mentioned that the flood-security-lights are very easy to mount and the cord allows them to put them anywhere.', 'sentiment': 'positive'}""",7,0,2.110641717910767,https://amazon.com/dp/B0C27MSSX2,"""This thing, at first glance, is terrific!  

It provides all of the features Id been looking for.  

Great mountability, ease if use, several settings, even a really handy remote.  

I cannot believe how easy these things are to mount, and the cord allows you the distance to put them just about anywhere...

If you like, you can actually also get an extension cord online here at Amazon, to put them even further away--believe it or not!","{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'I cannot believe how easy these things are to mount, and the cord allows you the distance to put them just about anywhere...', 'rephrased_it(without experience & observation)': 'The user mentioned that the flood-security-lights are very easy to mount and the cord allows them to put them anywhere.', 'sentiment': 'positive'}",installation ease,The user mentioned that the flood-security-lights are very easy to mount and the cord allows them to put them anywhere.,,The flood-security-lights are easy to mount and can be placed anywhere with the cord.,445275,YES,The flood-security-lights are easy to mount and can be placed anywhere with the cord.,38,384796,2024-05-29T05:10:21.559981Z,2024-05-29T05:10:21.560028Z,3.45,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,4,"""{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'I found no problems putting these together and they install relatively easily.', 'rephrased_it(without experience & observation)': 'The user mentioned that he found it easy to install the lights and there were no problems with the installation process.', 'sentiment': 'positive'}""",6,0,1.809560775756836,https://amazon.com/dp/B0C27MSSX2,"These motion sensor solar lights are very useful around buildings or at home.

I found no problems putting these together and they install relatively easily.

The most challenging thing to deal with when installing these lights is choosing an appropriate location which is dependent on different factors.

The actual setup of the lights themselves is not difficult at all.

I feel that the lights are bright enough, but could be a bit brighter.","{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'I found no problems putting these together and they install relatively easily.', 'rephrased_it(without experience & observation)': 'The user mentioned that he found it easy to install the lights and there were no problems with the installation process.', 'sentiment': 'positive'}",installation ease,The user mentioned that he found it easy to install the lights and there were no problems with the installation process.,,I found it easy to install the lights without any problems during the installation process.,445274,NO,I found it easy to install the lights without any problems during the installation process.,38,384794,2024-05-29T05:10:16.611640Z,2024-05-29T05:10:16.611692Z,3.222,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,4,"""{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'This solar light is very easy to install.', 'rephrased_it(without experience & observation)': 'The user mentioned that the solar light is very easy to install.', 'sentiment': 'positive'}""",5,0,1.518353462219238,https://amazon.com/dp/B0C27MSSX2,"This solar light is very easy to install.

The long extension wire allows the solar panel up to 15 ft away from the light.

I install the light in the covered porch while having the solar panel sitting about 10 ft away on a sun-facing area.

The motion and light sensors work well.","{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'This solar light is very easy to install.', 'rephrased_it(without experience & observation)': 'The user mentioned that the solar light is very easy to install.', 'sentiment': 'positive'}",installation ease,The user mentioned that the solar light is very easy to install.,,The solar light is very easy to install.,445273,NO,The solar light is very easy to install.,38,384793,2024-05-29T05:10:12.096885Z,2024-05-29T05:10:12.096946Z,3.129,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,5,"""{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'Super easy to install each solar panel was on a long cord, so can be moved into position where the sun will hit it.', 'rephrased_it(without experience & observation)': 'The user mentioned that the installation was super easy and the solar panel was on a long cord, so it could be moved into position where the sun would hit it.', 'sentiment': 'positive'}""",4,0,2.318778276443481,https://amazon.com/dp/B0C27MSSX2,"We’ve had these up for a few months, and so far so good still just as bright as day one!

Super easy to install each solar panel was on a long cord, so can be moved into position where the sun will hit it.

The quality is excellent.

These are not cheap.

They are a nice thick plastic.

The remotes are a nice touch as we can control them without having to get out a latter!","{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'Super easy to install each solar panel was on a long cord, so can be moved into position where the sun will hit it.', 'rephrased_it(without experience & observation)': 'The user mentioned that the installation was super easy and the solar panel was on a long cord, so it could be moved into position where the sun would hit it.', 'sentiment': 'positive'}",installation ease,"The user mentioned that the installation was super easy and the solar panel was on a long cord, so it could be moved into position where the sun would hit it.",,The installation was super easy and the solar panel can be moved into position where the sun hits it with its long cord.,445272,YES,The installation was super easy and the solar panel can be moved into position where the sun hits it with its long cord.,38,384791,2024-05-29T05:09:54.848292Z,2024-05-29T05:09:54.848345Z,12.178,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,5,"""{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'I like the easy installation with two pieces (a holder plate and the attachment with just sliding on).', 'rephrased_it(without experience & observation)': 'The user mentioned that the installation was easy and it required only two pieces, a holder plate and the attachment which could be slid on.', 'sentiment': 'positive'}""",3,0,2.084952831268311,https://amazon.com/dp/B0C27MSSX2,"First off, I like the price for this 2-unit pack of lights. They will continue performing as they are in their initial impressive states.  The brightness of the lights is comparable with other offers from other manufacturers.  I like the easy installation with two pieces (a holder plate and the attachment with just sliding on).  Another unique feature is the two side lights, which are curved and thus could cast a wider light path., Motion detection is within my expectation from the side as well as in front / below.  Overall, this set has a very good first impression.","{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'I like the easy installation with two pieces (a holder plate and the attachment with just sliding on).', 'rephrased_it(without experience & observation)': 'The user mentioned that the installation was easy and it required only two pieces, a holder plate and the attachment which could be slid on.', 'sentiment': 'positive'}",installation ease,"The user mentioned that the installation was easy and it required only two pieces, a holder plate and the attachment which could be slid on.",,The installation was easy with only two pieces required - a holder plate and the attachment which could be slid on.,445271,YES,The installation was easy with only two pieces required - a holder plate and the attachment which could be slid on.,38,384789,2024-05-29T05:09:39.607556Z,2024-05-29T05:09:39.607609Z,2.987,YES
90bff502-b5e4-11ee-92e6-6d304ea26a0e,0,4,"""{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'Easy install - 4 screw between the 2 mounts, and the lights/panels slide right into the mount.', 'rephrased_it(without experience & observation)': 'The user mentioned that the installation was easy and only required 4 screws between the 2 mounts. The lights/panels slide right into the mount.', 'sentiment': 'positive'}""",2,0,2.195899248123169,https://amazon.com/dp/B0C27MSSX2,"The batteries on these lights last a long time and they last from dusk to dawn in ""mode 2"".  

The remote has a very limited range, however.  

But these are ""set and forget"" for me, so I don't really even need the remote.  

Easy install - 4 screw between the 2 mounts, and the lights/panels slide right into the mount.  

These aren't 500w halogens, but they operate for free.  

Good deal all around.  

Very happy with my purchase.","{'feature': 'installation ease of flood-security-lights', 'actual_sentence_extracted': 'Easy install - 4 screw between the 2 mounts, and the lights/panels slide right into the mount.', 'rephrased_it(without experience & observation)': 'The user mentioned that the installation was easy and only required 4 screws between the 2 mounts. The lights/panels slide right into the mount.', 'sentiment': 'positive'}",installation ease,The user mentioned that the installation was easy and only required 4 screws between the 2 mounts. The lights/panels slide right into the mount.,,Installation is easy with only 4 screws required between the 2 mounts. The lights/panels slide right into the mount.,445270,YES,Installation is easy with only 4 screws required between the 2 mounts. The lights/panels slide right into the mount.,38,384787,2024-05-29T05:09:35.123619Z,2024-05-29T05:09:35.123674Z,2.795,YES
